0 1:0.0833333333333 2:0.0833333333333 3:0.0 4:0.166666666667 5:0.0 6:0.0 7:0.0833333333333 8:0.166666666667 9:0.0833333333333 10:0.0833333333333 11:0.0 12:0.166666666667 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0833333333333 18:0.0 19:0.0 20:0.0
0 1:0.0769230769231 2:0.0769230769231 3:0.0 4:0.153846153846 5:0.0 6:0.0 7:0.0769230769231 8:0.153846153846 9:0.0769230769231 10:0.0769230769231 11:0.0 12:0.230769230769 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0769230769231 18:0.0 19:0.0 20:0.0
0 1:0.0714285714286 2:0.0714285714286 3:0.0 4:0.142857142857 5:0.0 6:0.0 7:0.0714285714286 8:0.142857142857 9:0.0714285714286 10:0.142857142857 11:0.0 12:0.214285714286 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0714285714286 18:0.0 19:0.0 20:0.0
0 1:0.0666666666667 2:0.0666666666667 3:0.0 4:0.133333333333 5:0.0666666666667 6:0.0 7:0.0666666666667 8:0.133333333333 9:0.0666666666667 10:0.133333333333 11:0.0 12:0.2 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0666666666667 18:0.0 19:0.0 20:0.0
0 1:0.0625 2:0.0625 3:0.0 4:0.125 5:0.0625 6:0.0625 7:0.0625 8:0.125 9:0.0625 10:0.125 11:0.0 12:0.1875 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0625 18:0.0 19:0.0 20:0.0
0 1:0.0588235294118 2:0.0588235294118 3:0.0 4:0.117647058824 5:0.0588235294118 6:0.117647058824 7:0.0588235294118 8:0.117647058824 9:0.0588235294118 10:0.117647058824 11:0.0 12:0.176470588235 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0588235294118 18:0.0 19:0.0 20:0.0
0 1:0.0555555555556 2:0.0555555555556 3:0.0 4:0.111111111111 5:0.0555555555556 6:0.166666666667 7:0.0555555555556 8:0.111111111111 9:0.0555555555556 10:0.111111111111 11:0.0 12:0.166666666667 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0555555555556 18:0.0 19:0.0 20:0.0
0 1:0.0526315789474 2:0.0526315789474 3:0.0 4:0.105263157895 5:0.0526315789474 6:0.210526315789 7:0.0526315789474 8:0.105263157895 9:0.0526315789474 10:0.105263157895 11:0.0 12:0.157894736842 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0526315789474 18:0.0 19:0.0 20:0.0
0 1:0.05 2:0.05 3:0.05 4:0.1 5:0.05 6:0.2 7:0.05 8:0.1 9:0.05 10:0.1 11:0.0 12:0.15 13:0.0 14:0.0 15:0.0 16:0.0 17:0.05 18:0.0 19:0.0 20:0.0
0 1:0.047619047619 2:0.047619047619 3:0.047619047619 4:0.0952380952381 5:0.0952380952381 6:0.190476190476 7:0.047619047619 8:0.0952380952381 9:0.047619047619 10:0.0952380952381 11:0.0 12:0.142857142857 13:0.0 14:0.0 15:0.0 16:0.0 17:0.047619047619 18:0.0 19:0.0 20:0.0
0 1:0.0454545454545 2:0.0454545454545 3:0.0454545454545 4:0.0909090909091 5:0.0909090909091 6:0.181818181818 7:0.0454545454545 8:0.0909090909091 9:0.0454545454545 10:0.0909090909091 11:0.0454545454545 12:0.136363636364 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0454545454545 18:0.0 19:0.0 20:0.0
0 1:0.0434782608696 2:0.0434782608696 3:0.0869565217391 4:0.0869565217391 5:0.0869565217391 6:0.173913043478 7:0.0434782608696 8:0.0869565217391 9:0.0434782608696 10:0.0869565217391 11:0.0434782608696 12:0.130434782609 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0434782608696 18:0.0 19:0.0 20:0.0
